Parafia	Miejscowość	Adres	Diecezja	Dekanat	Województwo
błog. Karoliny Kózkówny	Ełk	błog. Karoliny Kózkówny|ul. Księcia Witolda 2a|19-300 Ełk|woj. warmińsko-mazurskie	ełcka	Ełk - Świętej Rodziny	warmińsko-mazurskie
Bł. 108 Męczenników II Wojny Światowej	Powiercie	Bł. 108 Męczenników II Wojny Światowej|Powiercie 31|62-600 Powiercie|woj. wielkopolskie	włocławska	Kolo I	wielkopolskie
Bł. 108 Męczenników Polskich	Malbork	Bł. 108 Męczenników Polskich|ul. Pionierów|82-200 Malbork|woj. pomorskie	elbląska	MALBORK I	pomorskie
bł. Anieli Salawy	Kraków	bł. Anieli Salawy|al. Kijowska 29|30-079 Kraków|woj. małopolskie	krakowska	Kraków-Bronowice	małopolskie
bł. Annuarity i św. Michała Archanioła	Radom	bł. Annuarity i św. Michała Archanioła|ul. św. Królowej Jadwigi 13a|26-600 Radom|woj. mazowieckie	radomska	Radom-Północ	mazowieckie
Bł. Arnolda	Olsztyn	Bł. Arnolda|ul. Kard. St. Hozjusza 15|10-900 Olsztyn|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Olsztyn III - Gutkowo	warmińsko-mazurskie
bł. Bogumiła	Gniezno	bł. Bogumiła|ul. Cicha 3|62-200 Gniezno|woj. wielkopolskie	gnieźnieńska	gnieźniński >2<	wielkopolskie
Bł. Bogumiła	Szczytniki	Bł. Bogumiła|Szczytniki 85|62-865 Szczytniki|woj. wielkopolskie	kaliska	opatówecki	wielkopolskie
bł. Bolesławy Lament	Białystok	bł. Bolesławy Lament|ul. M. Dąbrowskiej 3|15-702 Białystok|woj. podlaskie	białostocka	Białystok Starosielce	podlaskie
bł. Czesława	Smielin	bł. Czesława|Smielin ul. Kościelna 6|89-110 Smielin|woj. kujawsko-pomorskie	bydgoska	Nakło	kujawsko-pomorskie
Bł. Czesława	Opole	Bł. Czesława|ul. gen. J. Hallera 2|45-782 Opole	opolska	Opole-Szczepanowice	
Bł. Czesława	Górażdże	Bł. Czesława|ul. Dworcowa 1|47-077 Górażdże	opolska	Kamień Śląski	
Bł. Don Orione	Ostojów	Bł. Don Orione|Ostojów 45a|26-130 Ostojów|woj. świętokrzyskie	radomska	Skarżysko Kamienna	świętokrzyskie
Bł. Doroty z Mątow	Dorotowo	Bł. Doroty z Mątow|Dorotowo 75|11-034 Dorotowo|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Olsztynek	warmińsko-mazurskie
Bł. Doroty z Mątów	Elbląg	Bł. Doroty z Mątów|ul. Rawska 16a|82-300 Elbląg|woj. warmińsko-mazurskie	elbląska	ELBLĄG - POŁUDNIE	warmińsko-mazurskie
Bł. Doroty z Mątów	Gdańsk	Bł. Doroty z Mątów|Gdańsk Jasień ul. Kartuska 349|80-175 Gdańsk|woj. pomorskie	gdańska	Gdańsk Siedlce	pomorskie
bł. Edmunda Bojanowskiego	Gostyń	bł. Edmunda Bojanowskiego|ks. Jana Twardowskiego 8-10|63-800 Gostyń|woj. wielkopolskie	poznańska	Gostyń	wielkopolskie
bł. Edmunda Bojanowskiego	Warszawa	bł. Edmunda Bojanowskiego|ul. Kokosowa 12|02-974 Warszawa	warszawska	Warszawa-Ursynów	
Bł. Edmunda Bojanowskiego i Św. Antoniego Padewskiego	Rumia	Bł. Edmunda Bojanowskiego i Św. Antoniego Padewskiego|Rumia ul. Aleksandra Fredry 24|84-230 Rumia|woj. pomorskie	gdańska	Reda	pomorskie
bł. Edwarda Detkensa	Warszawa	bł. Edwarda Detkensa spośród Stu Ośmiu Męczenników|ul. Dewajtis 3|01-815 Warszawa|woj. mazowieckie	warszawska	Warszawa-Bielany	mazowieckie
Bł. Franciszki Siedliskiej	Elbląg	Bł. Franciszki Siedliskiej|ul. Sadowa|82-300 Elbląg|woj. warmińsko-mazurskie	elbląska	ELBLĄG - POŁUDNIE	warmińsko-mazurskie
Bł. Franciszki Siedliskiej	Olsztyn	Bł. Franciszki Siedliskiej|ul. Biskupa Wilczyńskiego 7|10-686 Olsztyn|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Olsztyn IV - Jaroty	warmińsko-mazurskie
Bł. Hiacynty i Franciszka	Kielce	Bł. Hiacynty i Franciszka|ul. Piekoszowska 352|25-645 Kielce|woj. świętokrzyskie	kielecka	Kielce-Południe	świętokrzyskie
Bł. Honorata Koźmińskiego	Biała Podlaska	Bł. Honorata Koźmińskiego|ul. Terebelska 50 A|21-500 Biała Podlaska|woj. lubelskie	siedlecka	Biała Podlaska-Północ	lubelskie
Bł. Honorata Koźmińskiego	Lesznowola	Bł. Honorata Koźmińskiego|ul. Piaseczyńska 7|05-600 Lesznowola|woj. mazowieckie	warszawska	Grójec	mazowieckie
Bł. Honorata Koźmińskiego	Będzin	Bł. Honorata Koźmińskiego|ul.Konopnickiej 11a|42-506 Będzin	sosnowiecka	Czeladź-Św. Stanisława BM	
Bł. Honorata Koźmińskiego	Mrągowo	Bł. Honorata Koźmińskiego|ul. Olsztyńska 16|11-700 Mrągowo|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Mrągowo II	warmińsko-mazurskie
Bł. Honorata Koźmińskiego	Janiszew	Bł. Honorata Koźmińskiego|Janiszew 34|26-600 Janiszew|woj. mazowieckie	radomska	Radom-Zachód	mazowieckie
Bł. Honorata Koźmińskiego	Chrośla	Bł. Honorata Koźmińskiego|ul. Żwirowa 2|05-311 Chrośla|woj. mazowieckie	warszawsko-praska	Mińsk Mazowiecki-Św.Antoniego	mazowieckie
Bł. Jakuba Strzemię B, Św. Stanisława Bpa	Lubaczów	Bł. Jakuba Strzemię B, Św. Stanisława Bpa|ul. Kościuszki 2|37-600 Lubaczów|woj. podkarpackie	zamojsko-lubaczowska	Lubaczów	podkarpackie
Bł. Jana XXIII Papieża	BARTOSZYCE	Bł. Jana XXIII Papieża|ul.Wojska Polskiego 4|11-200 BARTOSZYCE|woj. warmińsko-mazurskie	ordynariat polowy	Toruń III	warmińsko-mazurskie
Bł. Jerzego Matulewicza	Pasłęk	Bł. Jerzego Matulewicza|ul. M. Kopernika 28|14-400 Pasłęk|woj. warmińsko-mazurskie	elbląska	PASŁĘK II	warmińsko-mazurskie
Bł. Jerzego Matulewicza	Konin	Bł. Jerzego Matulewicza|ul. Jana Pawła II 93|62-510 Konin|woj. wielkopolskie	włocławska	Konin II	wielkopolskie
bł. Jolenty	Gniezno	bł. Jolenty|ul. Wierzbiczany 10|62-200 Gniezno|woj. wielkopolskie	gnieźnieńska	gnieźniński >2<	wielkopolskie
Bł. Józefa Pawłowskiego z grona >108< Męczenników	Włoszczowa	Bł. Józefa Pawłowskiego z grona >108< Męczenników|ul. Różana 1 B|29-100 Włoszczowa|woj. świętokrzyskie	kielecka	Włoszczowa	świętokrzyskie
Bł. Karoliny	Rzeszów	Bł. Karoliny|ul. Kościelna 15A|35-505 Rzeszów|woj. podkarpackie	rzeszowska	Rzeszów-Południe	podkarpackie
Bł. Karoliny	Biskupiec Reszulski	Bł. Karoliny|ul. Warszawska 13|11-300 Biskupiec Reszulski|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Biskupiec Reszelski	warmińsko-mazurskie
Bł. Karoliny Kózka	Wola Radłowska	Bł. Karoliny Kózka|Wola Radłowska 44|33-133 Wola Radłowska|woj. małopolskie	tarnowska	Radłów	małopolskie
bł. Karoliny Kózki	Połupin	bł. Karoliny Kózki|ul. Słoneczna 10a|66-600 Połupin|woj. lubuskie	zielonogórsko-gorzowska	Krosno Odrzańskie	lubuskie
Bł. Karoliny Kózkówny	Szczepocice	Bł. Karoliny Kózkówny|Szczepocice 71a|97-500 Szczepocice|woj. łódzkie	częstochowska	NAJŚW. SERCA PANA JEZUSA W RADOMSKU	łódzkie
Bł. Karoliny Kózkówny	Białobrzegi	Bł. Karoliny Kózkówny|ul. Wczasowa 24|05-127 Białobrzegi|woj. mazowieckie	warszawsko-praska	Warszawa-Tarchomin	mazowieckie
Bł. Karoliny Kózkówny BM	Wanaty	Bł. Karoliny Kózkówny BM|Wanaty ul. Warszawska 29|42-260 Wanaty|woj. śląskie	częstochowska	PORAJSKI	śląskie
Bł. Ks. Komandora Władysława Miegonia	CHEŁM	Bł. Ks. Komandora Władysława Miegonia|ul.Tubakowska 2|22-102 CHEŁM|woj. lubelskie	ordynariat polowy	Straż Graniczna	lubelskie
bł. ks. Stefana Wincentego Frelichowskiego	Toruń	bł. ks. Stefana Wincentego Frelichowskiego|ul. Szubińska 4|87-100 Toruń|woj. kujawsko-pomorskie	toruńska	Toruń IV	kujawsko-pomorskie
Bł. Marceliny Darowskiej	Buraków	Bł. Marceliny Darowskiej|ul. Sobieskiego 2a|05-092 Buraków|woj. mazowieckie	warszawska	Kampinos	mazowieckie
bł. Marii Karłowskiej	Toruń	bł. Marii Karłowskiej|ul. Konstytucji 3-go Maja 52|87-100 Toruń|woj. kujawsko-pomorskie	toruńska	Toruń III	kujawsko-pomorskie
bł. Matki Teresy z Kalkuty	Koszalin	bł. Matki Teresy z Kalkuty|Staszica 38|75-499 Koszalin	koszlińsko-kołobrzeska	Koszalin	
Bł. Matki Teresy z Kalkuty	Kalisz	Bł. Matki Teresy z Kalkuty|ul. Szewska 1|62-800 Kalisz	kaliska	kaliski I	
Bł. Matki Teresy z Kalkuty	Kobyłka	Bł. Matki Teresy z Kalkuty|Kobyłka	warszawsko-praska	Kobyłka	
Bł. Męczenników Podlaskich	Tłuszcz	Bł. Męczenników Podlaskich|ul. Klonowa 2|05-240 Tłuszcz|woj. mazowieckie	warszawsko-praska	Tłuszcz	mazowieckie
bł. Michała Kozala	Bydgoszcz	bł. Michała Kozala|ul. Nakielska 303|85-368 Bydgoszcz|woj. kujawsko-pomorskie	bydgoska	Bydgoszcz I	kujawsko-pomorskie
bł. Michała Kozala	Solec Kujawski	bł. Michała Kozala|ul. Kościelna 2|86-050 Solec Kujawski|woj. kujawsko-pomorskie	bydgoska	Bydgoszcz IV	kujawsko-pomorskie
Bł. Michała Kozala	Radomsko	Bł. Michała Kozala|ul. Stara Droga 244|97-500 Radomsko|woj. łódzkie	częstochowska	NAJŚW. SERCA PANA JEZUSA W RADOMSKU	łódzkie
Bł. Michała Kozala	Pruszcz Gdański	Bł. Michała Kozala|Pruszcz Gdański ul. Orzeszkowej 5|83-000 Pruszcz Gdański|woj. pomorskie	gdańska	Pruszcz Gdański	pomorskie
Bł. Michała Kozala	Kalisz	Bł. Michała Kozala|ul. Chocimska 8|62-800 Kalisz	kaliska	kaliski I	
Bł. Michała Kozala	Preczów	Bł. Michała Kozala|ul.Szkolna 3a|42-512 Preczów	sosnowiecka	Będzin-Trójcy Przenajświętszej	
Bł. Michała Kozala	Lipno	Bł. Michała Kozala|ul. 3 Maja 43|87-600 Lipno|woj. kujawsko-pomorskie	włocławska	Lipno	kujawsko-pomorskie
Bł. Michała Kozala, Biskupa i Męczennika	Morąg	Bł. Michała Kozala, Biskupa i Męczennika|ul. Topolowa|14-300 Morąg|woj. warmińsko-mazurskie	elbląska	MORĄG	warmińsko-mazurskie
Bł. Michała Kozala Biskupa i Męczennika	Ryjewo	Bł. Michała Kozala Biskupa i Męczennika|ul. Jana Pawła II 1|82-420 Ryjewo|woj. pomorskie	elbląska	SZTUM	pomorskie
Bł. Michała Kozala Biskupa i Męczennika	TRZEBIATÓW	Bł. Michała Kozala Biskupa i Męczennika|ul.Zagórska 21|72-320 TRZEBIATÓW|woj. zachodniopomorskie	ordynariat polowy	Pomorski Okręg Wojskowy	zachodniopomorskie
bł. Michała Kozala BM	Janikowo	bł. Michała Kozala BM|ul. Bp. Michała Kozala 1|88-160 Janikowo|woj. kujawsko-pomorskie	gnieźnieńska	Barcin	kujawsko-pomorskie
bł. Michała Kozala BM	Gniezno	bł. Michała Kozala BM|ul. Poznańska 15/99|62-200 Gniezno|woj. wielkopolskie	gnieźnieńska	gnieźniński >1<	wielkopolskie
bł. Michała Kozala BM	Słupca	bł. Michała Kozala BM|ul. Kopernika 10|62-400 Słupca|woj. wielkopolskie	gnieźnieńska	słupecki	wielkopolskie
bł. Michała Kozala BM	Wągrowiec	bł. Michała Kozala BM|ul. Rzeczna 4a|62-100 Wągrowiec|woj. wielkopolskie	gnieźnieńska	wagrowiecki	wielkopolskie
Bł. Michała Kozala BM	Działoszyn	Bł. Michała Kozala BM|Pl. Jana Pawła II nr 1|98-355 Działoszyn|woj. łódzkie	częstochowska	DZIAŁOSZYŃSKI	łódzkie
Bł. Michała Kozala Bpa i M.	Śrem	Bł. Michała Kozala Bpa i M.|ul. Malczewskiego 2|63-100 Śrem|woj. wielkopolskie	poznańska	Śrem	wielkopolskie
Bł. M. Teresy Ledóchowskiej	Muszyna	Bł. M. Teresy Ledóchowskiej|ul. Kościuszki 8b|33-370 Muszyna|woj. małopolskie	tarnowska	Krynica Zdrój	małopolskie
bł. Piotra Frassatiego	Łódź	bł. Piotra Frassatiego|ul. Zielona 13|90-601 Łódź|woj. łódzkie	łódzka	Łódź-Śródmieście	łódzkie
bł. Piotra Jerzego Frassati	Lubliniec	bł. Piotra Jerzego Frassati|ul. Sobieskiego 35|42-700 Lubliniec|woj. śląskie	gliwicka	Lubliniec	śląskie
Bł. Piotra Jerzego Frassati	LUBLINIEC	Bł. Piotra Jerzego Frassati|ul.Sobieskiego 35|42-703 LUBLINIEC	ordynariat polowy	2 Korpus Zmechanizowany - Kraków	
bł. Radzyma Gaudentego	Gniezno	bł. Radzyma Gaudentego|ul. 22 Lipca 85|62-200 Gniezno|woj. wielkopolskie	gnieźnieńska	gnieźniński >2<	wielkopolskie
Bł. Reginy Protmann	Gronowo	Bł. Reginy Protmann|Gronowo|14-500 Gronowo|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Braniewo	warmińsko-mazurskie
Bł. Teresy Ledóchowskiej	Grabowo	Bł. Teresy Ledóchowskiej|Grabowo 34|11-705 Grabowo	warmińska (olsztyńska)	Mrągowo II	
Bł. Urszuli Ledóchowskiej	Złota Pińczowska	Bł. Urszuli Ledóchowskiej|Złota Pińczowska 279|28-425 Złota Pińczowska|woj. świętokrzyskie	kielecka	Wiślica	świętokrzyskie
Bł. Wincentego Kadłubka	Jędrzejów	Bł. Wincentego Kadłubka|ul. Klasztorna 20|28-300 Jędrzejów|woj. świętokrzyskie	kielecka	Jędrzejów	świętokrzyskie
bł. Władysława z Gielniowa	Warszawa	bł. Władysława z Gielniowa|ul. Przy Bażantarni 3|02-793 Warszawa|woj. mazowieckie	warszawska	Warszawa-Ursynów	mazowieckie
Bogarodzicy Dziewicy Matki Kościoła	Olsztyn	Bogarodzicy Dziewicy Matki Kościoła|ul. Jarocka 42|10-687 Olsztyn|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Olsztyn IV - Jaroty	warmińsko-mazurskie
Bogurodzicy Maryi	Warszawa	Bogurodzicy Maryi|ul. Powstańców Śląskich 67 a|01-355 Warszawa|woj. mazowieckie	warszawska	Warszawa-Jelonki	mazowieckie
Bożego Ciała	Suraż	Bożego Ciała|ul. Zakościelna 2|18-105 Suraż|woj. podlaskie	białostocka	Białystok Nowe Miasto	podlaskie
Bożego Ciała	Bydgoszcz	Bożego Ciała|ul. Jesionowa 24|85-149 Bydgoszcz|woj. kujawsko-pomorskie	bydgoska	Bydgoszcz III	kujawsko-pomorskie
Bożego Ciała	Suwałki	Bożego Ciała|ul. 11 Listopada 6|16-400 Suwałki|woj. podlaskie	ełcka	Suwałki - św. Benedykta i Romualda	podlaskie
Bożego Ciała	Gdańsk	Bożego Ciała|Gdańsk Morena ul. Piecewska 9|80-288 Gdańsk|woj. pomorskie	gdańska	Gdańsk Siedlce	pomorskie
Bożego Ciała	Pręgowo	Bożego Ciała|Pręgowo ul. Kościelna 3|83-050 Pręgowo|woj. pomorskie	gdańska	Kolbudy	pomorskie
Bożego Ciała	Hel	Bożego Ciała|Hel ul. Wiejska 46|84-150 Hel|woj. pomorskie	gdańska	Morski	pomorskie
Bożego Ciała	Bytom Miechowice	Bożego Ciała|ul. Kasztanowa 3|41-908 Bytom Miechowice	gliwicka	Bytom Miechowice	
Bożego Ciała	Łagiwniki Kościelne	Bożego Ciała|62-272 Łagiwniki Kościelne|woj. wielkopolskie	gnieźnieńska	kiszkowski	wielkopolskie
Bożego Ciała	Nowe Skalmierzyce	Bożego Ciała|ul. Kaliska 43|63-460 Nowe Skalmierzyce|woj. wielkopolskie	kaliska	ołobocki	wielkopolskie
Bożego Ciała	Jankowice Rybnickie	Bożego Ciała|ul. Rybnicka 34|44-264 Jankowice Rybnickie|woj. śląskie	katowicka	Boguszowice	śląskie
Bożego Ciała	Zabrze Kończyce	Bożego Ciała|ul. Olsztyńska 7|44-810 Zabrze Kończyce	katowicka	Kochłowice	
Bożego Ciała	Słomniki	Bożego Ciała|ul. Słowackiego 2|32-090 Słomniki|woj. małopolskie	kielecka	Słomniki	małopolskie
Bożego Ciała	Kraków	Bożego Ciała|ul. Bożego Ciała 26|31-059 Kraków|woj. małopolskie	krakowska	Kraków-Kazimierz	małopolskie
Bożego Ciała	Szklarska Poręba	Bożego Ciała|ul. ks. kard. Wyszyńskiego 2|58-580 Szklarska Poręba|woj. dolnośląskie	legnicka	Szklarska Poręba	dolnośląskie
Bożego Ciała	Olesno	Bożego Ciała|ul. Kościelna 1|46-300 Olesno|woj. opolskie	opolska	Olesno	opolskie
Bożego Ciała	Czarnowąsy	Bożego Ciała|Pl.Klasztorny 3|46-020 Czarnowąsy|woj. opolskie	opolska	Siołkowice	opolskie
Bożego Ciała	Tuchola	Bożego Ciała|ul. Świecka 24|89-500 Tuchola|woj. kujawsko-pomorskie	pelplińska	Tuchola	kujawsko-pomorskie
Bożego Ciała	Poznań	Bożego Ciała|ul. Strzelecka 40|61-846 Poznań|woj. wielkopolskie	poznańska	Poznań-Stare Miasto	wielkopolskie
Bożego Ciała	Biecz	Bożego Ciała|ul. bpa M. Kromera 16 a|38-340 Biecz|woj. małopolskie	rzeszowska	Biecz	małopolskie
Bożego Ciała	Szczecin	Bożego Ciała|ul. E. Plater 25|71-632 Szczecin|woj. zachodniopomorskie	szczecińsko-kamieńska	Szczecin-Niebuszewo	zachodniopomorskie
Bożego Ciała	Warszawa	Bożego Ciała|Grochowska 365|03-822 Warszawa|woj. mazowieckie	warszawsko-praska	Warszawa-Grochów	mazowieckie
Bożego Ciała	Wrocław	Bożego Ciała|ul. Bożego Ciała 1|50-051 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Śródmieście	dolnośląskie
Bożego Ciała	Brzeg Głogowski	Bożego Ciała|Brzeg Głogowski 59|67-232 Brzeg Głogowski|woj. dolnośląskie	zielonogórsko-gorzowska	Głogów-N.M.P. Królowej Polski	dolnośląskie
Bożego Ciała	ŁOMŻA	Bożego Ciała|ul.Przykoszarowa 26|18-403 ŁOMŻA|woj. podlaskie	łomżyńska	Łomża-Katedra Św.Michała Archanioła	podlaskie
Bożego Ciała	ORŁÓW	Bożego Ciała|Orłów 7|99-311 ORŁÓW|woj. łódzkie	łowicka	Piątek	łódzkie
Bożego Ciała	MIĘDZYLESIE	Bożego Ciała|ul.Mickiewicza 1|57-530 MIĘDZYLESIE|woj. dolnośląskie	świdnicka	Międzylesie	dolnośląskie
Bożego Ciała	Busko Zdrój	Bożego Ciała|ul. Ks.Kard.St.Wyszyńskiego 1|28-100 Busko Zdrój|woj. świętokrzyskie	kielecka	Busko	świętokrzyskie
Bożego Ciała	Józefów	Bożego Ciała|ul. Powstańców 10|24-340 Józefów|woj. lubelskie	lubelska	Opole Lubelskie	lubelskie
Bożego Ciała	Wielgie	Bożego Ciała|Wielgie 69|27-310 Wielgie|woj. mazowieckie	radomska	Lipsko	mazowieckie
Bożego Ciała i Matki Bożej Częstochowskiej	Wierzbice	Bożego Ciała i Matki Bożej Częstochowskiej|ul. Lipowa 45|55-040 Wierzbice|woj. dolnośląskie	wrocławska	Sobótka	dolnośląskie
Bożego Ciała i Matki Bożej z Lourdes	Rzeszów	Bożego Ciała i Matki Bożej z Lourdes|ul. Prymasa 1000-lecia 1|35-510 Rzeszów|woj. podkarpackie	rzeszowska	Rzeszów-Fara	podkarpackie
Bożego Ciała i Świętej Barbary	Niewiadom	Bożego Ciała i Świętej Barbary|ul. ks. P. Skargi 46|44-273 Niewiadom|woj. śląskie	katowicka	Niedobczyce	śląskie
Bożego Ciała i Św. Stanisława Biskupa i Męczennika	Modlna	Bożego Ciała i Św. Stanisława Biskupa i Męczennika|Modlna 28|95-035 Modlna|woj. łódzkie	łódzka	Ozorków	łódzkie
Bożego Ciała * kolegiata	Jarosław	Bożego Ciała * kolegiata|pl. Ks. P. Skargi 2|37-500 Jarosław|woj. podkarpackie	przemyska (łac)	Jarosław I	podkarpackie
Bożego Narodzenia	Ruda Śląska Halemba	Bożego Narodzenia|ul. Leśna 37|41-706 Ruda Śląska Halemba|woj. śląskie	katowicka	Kochłowice	śląskie
Bożej Opatrzności	Radom	Bożej Opatrzności|ul. Skrajna 5|26-600 Radom|woj. mazowieckie	radomska	Radom-Południe	mazowieckie
Chełmsko Śl., Parafia Świętej Rodziny	Chełmsko	Chełmsko Śl., Parafia Świętej Rodziny|58-407 Chełmsko|woj. dolnośląskie	legnicka	Kamienna Góra Zachód	dolnośląskie
Chrystusa Dobrego Pasterza	Jurowce	Chrystusa Dobrego Pasterza|Jurowce ul. Jana Pawła II 1|16-010 Jurowce|woj. podlaskie	białostocka	Wasilków	podlaskie
Chrystusa Dobrego Pasterza	Białe Błota	Chrystusa Dobrego Pasterza|ul. Czerska 40|86-005 Białe Błota|woj. kujawsko-pomorskie	bydgoska	Białe Błota	kujawsko-pomorskie
Chrystusa Dobrego Pasterza	Gdynia	Chrystusa Dobrego Pasterza|Gdynia Cisowa ul. Lniana 19|81-015 Gdynia|woj. pomorskie	gdańska	Gdynia Chylonia	pomorskie
Chrystusa Dobrego Pasterza	Odruchowo	Chrystusa Dobrego Pasterza|ul. Powstańców Wlkp. 1|62-436 Odruchowo|woj. wielkopolskie	gnieźnieńska	trzemeszeński	wielkopolskie
Chrystusa Dobrego Pasterza	Poznań	Chrystusa Dobrego Pasterza|ul. Nowina 1|60-589 Poznań|woj. wielkopolskie	poznańska	Poznań-Jeżyce	wielkopolskie
Chrystusa Dobrego Pasterza	Szczecin	Chrystusa Dobrego Pasterza|ul. Beżowa 40/3|70-781 Szczecin|woj. zachodniopomorskie	szczecińsko-kamieńska	Szczecin-Słoneczne	zachodniopomorskie
Chrystusa Dobrego Pasterza	Rudy-Rysie	Chrystusa Dobrego Pasterza|Rudy Rysie 51|32-820 Rudy-Rysie|woj. małopolskie	tarnowska	Szczepanów	małopolskie
Chrystusa Dobrego Pasterza	OSTRÓW MAZOWIECKA	Chrystusa Dobrego Pasterza|ul.Pasterska 2|07-300 OSTRÓW MAZOWIECKA|woj. mazowieckie	łomżyńska	Ostrów Mazowiecka-Chrystusa Dobrego Pasterza	mazowieckie
Chrystusa Dobrego Pasterza	ŁOWICZ	Chrystusa Dobrego Pasterza|ul.Jana Pawła II nr 32|99-400 ŁOWICZ|woj. łódzkie	łowicka	Łowicz-Św.Ducha	łódzkie
Chrystusa Dobrego Pasterza	JESIONKA	Chrystusa Dobrego Pasterza|Jesionka ul.Kościelna 7|96-315 JESIONKA|woj. mazowieckie	łowicka	Wiskitki	mazowieckie
Chrystusa Dobrego Pasterza	Piotrków k. Lublina	Chrystusa Dobrego Pasterza|23-113 Piotrków k. Lublina	lubelska	Bychawa	
Chrystusa Dobrego Pasterza	Tarnobrzeg-Mokrzyszów	Chrystusa Dobrego Pasterza|ul. Sienkiewicza 213|39-400 Tarnobrzeg-Mokrzyszów|woj. podkarpackie	sandomierska	Tarnobrzeg-Północ	podkarpackie
Chrystusa Jedynego Zbawiciela	Swarzędz	Chrystusa Jedynego Zbawiciela|os. Mielżyńskiego 1 A|62-020 Swarzędz|woj. wielkopolskie	poznańska	Swarzędz	wielkopolskie
Chrystusa Kapłana	Radom	Chrystusa Kapłana|ul. Młyńska 23/25|26-600 Radom|woj. mazowieckie	radomska	Radom-Południe	mazowieckie
Chrystusa Króla	Białystok	Chrystusa Króla|ul. Ciołkowskiego 4|15-545 Białystok|woj. podlaskie	białostocka	Białystok Dojlidy	podlaskie
Chrystusa Króla	Bielsko-Biała	Chrystusa Króla|ul. Straconki 12|43-300 Bielsko-Biała	bielsko-żywiecka	Bielsko-Biała III (Wschodni)	
Chrystusa Króla	Chybie	Chrystusa Króla|ul. Wyzwolenia 2|43-520 Chybie|woj. śląskie	bielsko-żywiecka	Strumieński	śląskie
Chrystusa Króla	Żywiec Sporysz	Chrystusa Króla|ul. Ks. P. Skargi 5|Żywiec Sporysz	bielsko-żywiecka	Żywiecki	
Chrystusa Króla	Bydgoszcz	Chrystusa Króla|ul. Lotników 1|85-339 Bydgoszcz|woj. kujawsko-pomorskie	bydgoska	Bydgoszcz III	kujawsko-pomorskie
Chrystusa Króla	Strzelce Małe	Chrystusa Króla|Strzelce Małe|97-515 Strzelce Małe|woj. łódzkie	częstochowska	KODRĄBSKI	łódzkie
Chrystusa Króla	Jarnołtowo	Chrystusa Króla|Jarnołtowo 21|14-332 Jarnołtowo	elbląska	MORĄG	
Chrystusa Króla	Piekło	Chrystusa Króla|Piekło 22|82-415 Piekło	elbląska	SZTUM	
