Parafia	url	niedzielne	powszednie	debug_url
Parafia pw. św. Katarzyny	http://www.brodnica.archpoznan.pl	Msze św. w niedziele: godz. 8.00, godz. 9.30 (Szołdry), godz. 11.00	Msze św. w dni powszednie: godz. 18.00, w czwartki godz. 8.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,360/
Parafia pw. św. Andrzeja Ap.	http://www.brodypoznanskie.pl	Msze św. w niedziele: 7:30, 9:30, 11:15, 18:30	Msze św. w dni powszednie: 18:30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,194/
Parafia pw. św. Franciszka z Asyżu		Msze św. niedzielne: 8:00, 10:30	Msze św. w dni powszednie: 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,341/
Parafia pw. św. Barbary		Msze św. w niedziele: 8:00, 11:30; Popowo Stare 9:45	Msze św. w dni powszednie: 18:00; we wtorek 8:30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,340/
Parafia pw. św. Stanisława Bpa	http://parafiabuk.pl/	Msze św. w niedziele: godz. 7.00, godz. 8.15, godz. 9.30, godz. 10.45, godz. 12.00, godz. 18.30	Msze św. w dni powszednie: godz. 7.00, godz. 7.30, godz. 18.30 lub godz. 7.00, godz. 18.30, godz. 19.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,29/
Parafia pw. św. Marcina		Msze św. w niedziele: godz. 8.30, godz. 10.30, godz. 12.00	Msze św. w dni powszednie: zimą godz. 17.30; latem godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,67/
Parafia pw. św. Marcina		Msze św. w niedziele: godz. 8.00, godz. 10.30	Msze św. w dni powszednie: poniedziałek godz. 8.00, od wtorku do soboty godz. 18.00 zimą godz. 18.30 latem	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,271/
Parafia pw. Niepokalanego Poczęcia NMP	http://www.parafia-bytyn.pl	Msze św. w niedziele: 9:00, 11:00	Msze św. w dni powszednie: pn., wt., czw., pt., sob.: 18:00; śr. 8:30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,193/
Parafia pw. św. Stanisława Bpa		Msze św. w niedziele: sobota: Jankowice 16:00, Gaj Wielki 17:15, Ceradz Kościelny 18:30; niedziela: Ceradz Kościelny 8:00, 11:00, Grzebienisko 9:30	Msze św. w dni powszednie: Ceradz kościelny 18:30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,281/
Parafia pw. Podwyższenia Krzyża Świętego	http://parafiacerekwica.pl/	Msze św. w niedziele: Cerekwica sb. 18.30, nd. godz. 8.00, godz. 11.00; Pamiątkowo - Filia sb. godz. 17.00, nd. godz 9.30	Msze św. w dni powszednie: Cerekwica godz. 18.30; Pamiątkowo godz. 17.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,330/
Parafia pw. Parafia pw. św. Jakuba Większego Ap.		Msze św. w niedziele: Poręba godz. 8.00, Bruczków godz. 9.15, Cerekwica godz. 11.00	Msze św. w dni powszednie: godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,9/
Parafia pw. Wszystkich Świętych		Msze św. w niedziele: 8:00, 9:30, 11:00	Msze św. w dni powszednie: 18:15	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,183/
Parafia pw. św. Piotra w Okowach		Msze św. w niedziele: godz. 8.00, godz. 11.00; filia Nowa Wieś Zbąska godz. 9.30; w soboty godz. 17.00 i 18.00	Msze św. w dni powszednie: godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,405/
Parafia pw. Miłosierdzia Bożego		Msze św. w niedziele: godz. 7.30, godz. 9.45, godz. 17,00; sobota: 17:00 (od X do III), 19:00 (od IV do IX_	Msze św. w dni powszednie: od IV do IX o godz. 19.00; od X do III o godz. 17.00	http://www.archpoznan.pl/component/option,com_contact/Itemid,118/task,view/contact_id,173/
Parafia pw. Chrystusa Króla		Msze św. w niedziele: godz. 9.00, godz. 11.00	Msze św. w dni powszednie: m-ce I,II - godz. 17.00, III,IV,V godz. 18.00, VI,VII,VIII godz. 19.00, IX, X godz. 18.00, XI,XII godz. 17.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,397/
Parafia pw. św. Katarzyny Sieneńskiej	http://www.choryn.archpoznan.pl	Msze św. w niedziele: Choryń: 7:30, 11:00; Kopaszewo: 9:30	Msze św. w dni powszednie: 18:30	http://www.archpoznan.pl/component/option,com_contact/Itemid,118/task,view/contact_id,124/
Parafia pw. św. Wojciecha	http://chrzypskowielkie.archpoznan.pl	Msze św. w niedziele: sobota 18.00, kaplica w Charcicach godz. 19.15; niedziela godz. 8.00, 9.30, 11.15; kaplica w Łężeczkach godz. 11.30	Msze św. w dni powszednie: godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,396/
Parafia pw. Świętej Trójcy		Msze św. w niedziele: sobota: godz. 18.00; niedziela: godz. 8.00, godz. 11.00	Msze św. w dni powszednie: od 1.05 do 31.09 o godz. 19.00 i od 1.10 do 30.04 o godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,116/
Parafia pw. św. Małgorzaty	http://cielcza.archpoznan.pl	Msze św. w niedziele: 8:00, 9:30, 11:00	Msze św. w dni powszednie: 17:00 (XI-III), 18:00 (IV-X)	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,172/
Parafia pw. św. Michała Archanioła		Msze św. w niedziele: 7:30, 9:30, 11:00	Msze św. w dni powszednie: 18:30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,339/
Parafia pw. św. Augustyna	http://www.augustynczapury.pl	Msze św. w niedziele: 9:00, 10:30, 12:00	Msze św. w dni powszednie: 18:00, (środa 9:00)	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,256/
Parafia pw. Jezusa Chrystusa Najwyższego Kapłana	http://www.wroniecka57.pl	Msze św. w niedziele: godz. 18.30 (sobota) godz.7.30,godz.9.00,godz. 11.00,godz. 12.30,godz. 17.00	Msze św. w dni powszednie: godz. 7.00 (soboty godz. 8.00),godz. 18.30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,36/
Parafia pw. św. Marii Magdaleny	http://www.mariamagdalena.czarnkow.pl	Msze św. w niedziele: godz. 18.30 (sobota) godz. 7.30, godz. 9.30, godz. 11.00, godz. 12.30, godz. 18.00 Romanowo Dolne godz.9.00	Msze św. w dni powszednie: godz. 7.00, godz. 18.30, Romanowo Dolne: czwartek godz. 17.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,35/
Parafia pw. św. Michała Archanioła	http://www.parafia-czempin.pl	Msze św. w niedziele (oprócz niedziel w Wielkim Poście): 8.00, 10.00, 11.30, 18.00	Msze św. w dni powszednie: 8.00, 18.30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,97/
Parafia pw. NMP Wniebowziętej	http://www.parafia.czerlejno.pl	Msze św. w niedziele: godz. 8.30, godz. 9.45, godz. 11.00	Msze św. w dni powszednie: godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,86/
Parafia pw. św. Idziego		Msze św. w niedziele: 7:30, 11:00; Jurkowo 9:00	Msze św. w dni powszednie: 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,123/
Parafia pw. Niepokalanego Serca NMP	http://parafia.czerwonak.eu	Msze św. w niedziele: 8:00, 10:00, 11:30, 17:00	Msze św. w dni powszednie: 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,43/
Parafia pw. św. Katarzyny P.M.		Msze św. niedzielne: 8:00, 9:00, 10:30	Msze św. w dni powszednie: 18:30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,28/
Parafia pw. św. Wojciecha		Msze św. w niedziele: 8:00, 11:00	Msze św. w dni powszednie: 18:30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,122/
Parafia pw.św. Katarzyny Dz. M.		Msze św. w niedziele: godz. 7.30, godz. 9.00(Nowa Wieś), godz. 10.30	Msze św. w dni powszednie: godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,301/
Parafia pw. św. Urszuli Ledóchowskiej	http://www.dabrowkaparafia.pl	Msze św. w niedziele: 8.30, 10.00, 11.30, 12.45 ( z wyjątkiem lipca i sierpnia), 18.30	Msze św. w dni powszednie: 18.30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,1209/Itemid,118/
Parafia pw. Wniebowzięcia NMP	http://www.parafia-debnonw.pl	Msze św. w niedziele: Dębno godz. 8.00, godz. 12.00; Chrzan godz. 10.00	Msze św. w dni powszednie: Dębno: wt. godz. 8.00, czw. godz. 18.00, sob. godz. 18.00; Chrzan: pon., śr., pt., o godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,171/
Parafia pw. św. Jakuba Większego Ap.		Msze św. w niedziele: sobota godz. 17.00, niedziela godz. 7.00, godz. 9.00, godz. 11.00	Msze św. w dni powszednie: godz. 7.00, godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,270/
Parafia pw. św. Michała Archanioła	http://www.parafia.dolsk.info.pl	Msze św. w niedziele: 8:00, 10:00, 12:00	Msze św. w dni powszednie: 18:00 z wyjątkiem poniedziałku i piątku; 7:30 - Kościół Św. Ducha	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,359/
Parafia pw. św. Michała Archanioła	http://parafia-domachowo.pl	Msze św. w niedziele: godz. 9.00, godz. 11.00	Msze św. w dni powszednie: godz. 18.00 od poniedziałku do piątku; godz. 17.00 w sobotę	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,56/
Parafia pw. Nawiedzenia NMP		Msze św. w niedziele: godz.8:30, godz. 10.30, godz. 18.00	Msze św. w dni powszednie: poniedziałek godz. 9.00, wtorek – sobota godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,27/
Parafia pw. Najświętszego Serca Pana Jezusa		Msze św. w niedziele: Drawsko godz. 7.45, godz. 9.30, cmentarz lato godz. 17.00, zima godz. 15.00, Drawski Młyn godz. 9.00, godz. 11.00	Msze św. w dni powszednie: Drawsko zima godz. 18.00, lato godz. 19.00; Drawsko Młyn zima godz. 17.00, lato godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,378/
Parafia pw. Najświętszego Serca Jezusa	http://www.drobnin.archpoznan.pl	Msze św. w niedziele: 8:00, 11:00; Garzyn: 9:30	Msze św. w dni powszednie: 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,300/
Parafia pw. NMP Wniebowziętej		Msze św. w niedziele: Drzeczkowo godz. 7.30, godz. 11.00, Popowo Wonieskie godz. 9.15	Msze św. w dni powszednie: latem godz. 18.30, zimą godz. 17.30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,299/
Parafia pw. św. Mikołaja Bpa		Msze św. w niedziele: godz. 8.00, godz. 10.30, godz. 12.00 DPS-Osiek	Msze św. w dni powszednie: we wtorek i czwartek godz. 7.30, w pozostałe dni godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,76/
Parafia pw. św. Marcina		Msze św. w niedziele: godz. 8.00, godz. 10.30, godz. 18.00	Msze św. w dni powszednie: godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,192/
Parafia pw. św. Andrzeja Boboli		Msza św. w niedziele: Huta godz. 8.30, Gębice godz.10.00, Gębiczyn godz.12.00 Uwaga: Msze św. w Hucie i Gębicach przemiennie co 2 tydzień Msze św. w dni powszednie: godz. 18.00 Msze św. w święta w dni pracy: godz. 16.30, godz.18.00 Biuro cmentarne: w dni powszednie godz.18.30-20.00 Biuro parafialne w dni powszednie: godz. 18.30-20.00Proboszcz: ks. Sławomir Wasiela	Msza św. w niedziele: Huta godz. 8.30, Gębice godz.10.00, Gębiczyn godz.12.00 Uwaga: Msze św. w Hucie i Gębicach przemiennie co 2 tydzień Msze św. w dni powszednie: godz. 18.00 Msze św. w święta w dni pracy: godz. 16.30, godz.18.00 Biuro cmentarne: w dni powszednie godz.18.30-20.00 Biuro parafialne w dni powszednie: godz. 18.30-20.00Proboszcz: ks. Sławomir Wasiela	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,34/
Parafia pw. Wniebowzięcia NMP		Msze św. w niedziele: Giecz godz. 8.00; Dominowo sobota godz. 18.00, niedziela godz. 10.00	Msze św. w dni powszednie: Giecz czwartek godz. 16.00; Dominowo od wtorku godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,85/
Parafia pw. św. Katarzyny		Msze św. w niedziele: godz. 8.00, godz. 11.00; w kaplicy w Jarogniewicach godz. 9.30	Msze św. w dni powszednie: godz. 18.00; w kaplicy w Jarogniewicach w środę godz. 16.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,311/
Parafia pw. Podwyższenia Krzyża Świetego		Msze św. w niedziele: 9:15	Msze św. w dni powszednie: nie ma	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,170/
Parafia pw. Wszystkich Świętych		Msze św. w niedziele: sobota godz. 18:00; niedziela: 8:00, 10:30	Msze św. w dni powszednie: pn., śr., pt., sb.: 18:00; wt., czw.: 8:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,75/
Parafia pw. św. Ap. Piotra i Pawła		Msze św. w niedziele: 7.30 i 11.00	Msze św. w dni powszednie: (poniedziałek, środa i piątek): 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,371/
Parafia pw. św. Mikołaja		Msze św. w niedziele: 8:00, 11:00; Klonówiec 9:30	Msze św. w dni powszednie: 18:00 - czas letni, 17:00 - czas zimowy	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,298/
Parafia pw. Błogosławionego Edmunda Bojanowskiego	http://www.ebojanowski.pl	Msze św. w niedziele: godz. 7.30, godz. 9.00, godz. 11.00	Msze św. w dni powszednie: godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,55/
Parafia pw.Ducha Świętego i Najświętszego Serca Pana Jezusa	http://www.swietyduch.com.pl	Msze św. w niedziele: godz. 7.00, godz. 8.15, godz. 10.00, godz. 11.30, godz. 17.00, w kaplicy w Czachorowie godz. 10.30	Msze św. w dni powszednie: poniedziałek - czwartek godz. 17.00 i 18.00 (X-III) albo godz. 18.00 i 19.00 (IV-IX); piątki i soboty g. 7:30 i 18 (cały rok)	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,54/
Parafia pw. Najświętszej Maryi Panny Świętogórskiej	http://www.filipini.gostyn.pl	Msze św. w niedziele: godz. 7.30, godz. 9.00, godz. 10.30, godz. 12.00, godz. 15.00, godz. 17.00	Msze św. w dni powszednie: godz. 6.30, godz. 7.00, godz. 8.00, godz. 19.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,53/
Parafia pw. św. Małgorzaty	http://faragostyn.archpoznan.pl	Msze św. w niedziele: sobota godz. 17.00; godz. 6.30, godz. 8.00, godz. 9.30, godz. 11.00, godz. 12.30, godz. 15.00, godz. 18.30	Msze św. w dni powszednie: godz. 6.30, godz. 8.00, godz. 18.30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,52/
Parafia pw. św. Stanisława Bpa		Msze św. w niedziele: 8:00; 9:30, 11:00	Msze św. w dni powszednie: 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,390/
Parafia pw. Wniebowzięcia NMP		Msze św.w niedziele: godz. 8.00, godz. 9.30, godz. 11.30 Msze św.w dni powszednie: godz. 17.00 Msze św. w święta w dni pracy: godz. 8.00, godz. 9.30, godz. 17.00 Biuro parafialne: wtorek godz. 9.00-11.00 piątek godz. 15.00-16.30 Proboszcz: ks. Henryk Kondratowicz	Msze św.w niedziele: godz. 8.00, godz. 9.30, godz. 11.30 Msze św.w dni powszednie: godz. 17.00 Msze św. w święta w dni pracy: godz. 8.00, godz. 9.30, godz. 17.00 Biuro parafialne: wtorek godz. 9.00-11.00 piątek godz. 15.00-16.30 Proboszcz: ks. Henryk Kondratowicz	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,18/
Parafia pw. Matki Boskiej Pocieszenia i św. Michała Arch.	http://www.gorkaduchowna.archpoznan.pl	Msze św. w niedziele: 8:00, 10.30; sobota: 18:30-latem, 18:00-zimą	Msze św. w dni powszednie: 18:30-latem, 18:00-zimą, w I czwartek miesiąca Msza św. jest wieczorem, a w pozostałe czwartki 8:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,338/
Parafia pw. św. Marcina		Msze św. w niedziele: 8:00, 10:00, 12:00, 17:00	Msze św. w dni powszednie: 18:00, 19:00, pon. 8:00 i 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,310/
Parafia pw. Najświętszego Serca Pana Jezusa	http://www.nspjgrodzisk.archpoznan.pl	Msze sw. w niedziele: godz. 7.30, godz. 9.00, godz. 10.15, godz. 12.00, godz. 15.00; w ostatnia niedzielę miesiąca godz. 14.00 (dla osób niepełnosprawnych),sobota godz. 18.30, Grąblewo godz. 17.00	Msze św. w dni powszednie: poniedziałek-piątek, godz. 17.30 i godz. 18.30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,66/
Parafia pw. św. Faustyny	http://www.faustynagr.pl	Msze św. w niedziele: godz. 8.00, godz. 11.00, godz. 15.00, Słocin godz. 9.45 lipiec-sierpień godz. 8.00, godz. 11.00, godz. 18.00; Słocin godz. 9.45 Msze św. w soboty: godz. 17.00, godz. 18.00, godz. 18.00 / dla wspólnoty neokatechumenalnej/ w lipcu i sierpniu godz. 19.00	Msze św. w dni powszednie: godz. 17.30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,65/
Parafia pw. św. Jadwigi	http://fara-grodzisk.pl	Msze św. w niedziele: Klasztor: 11:00 - dla dzieci; Fara: 7:00, 8:30, 9:45 - dla młodzieży, 12:30, 18:30	Msze św. w dni powszednie: Klasztor: 7:30; Fara: 18:30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,64/
Parafia pw. św. Jana Chrzciciela		Msze św. w niedziele: godz. 11.30	Msze św. w dni powszednie: środa godz. 16.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,84/
Parafia pw. św. Barbary		Msze św. w niedziele: godz. 8.30, godz. 10.00, w m-cu VII i VIII o godz. 11.30 w Ośrodku Wypoczynkowym w Nowym Dębcu	Msze św. w dni powszednie: godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,96/
Parafia pw. św. Apostołów Piotra i Pawła	http://www.parafia-gulcz.pl	Msze św. w niedziele: godz. 8.00, godz. 11.00	Msze św. w dni powszednie: zimą godz. 18.00, latem godz. 19.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,377/
Parafia pw. św. Kazimierza		Msze św. w niedziele: 8:30, 11:00, 15:00	Msze św. w dni powszednie: pon.-pt. 17:00; sob. 19:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,83/
Parafia pw. NMP Szkaplerznej		Msze św. niedzielne: 9:00, 11:00	Msze św. w dni powszednie: 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,82/
Parafia pw. Najświętszego Serca Pana Jezusa		Msze św. w niedziele: 08:00, 11:00	Msze św. w dni powszednie: 18:00, środa 7:30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,63/
Parafia pw. św. Marii Magdaleny		Msze św. w niedziele: godz. 8.30, godz. 10.30, godz. 18.00 Msze św. w dni powszednie: godz. 18.00 Msze św. w święta w dni pracy: godz. 8.30, godz. 16.00, godz. 18.00 Biuro parafialne: po każdej Mszy św. codziennieProboszcz: ks. Jacek Stawik	Msze św. w niedziele: godz. 8.30, godz. 10.30, godz. 18.00 Msze św. w dni powszednie: godz. 18.00 Msze św. w święta w dni pracy: godz. 8.30, godz. 16.00, godz. 18.00 Biuro parafialne: po każdej Mszy św. codziennieProboszcz: ks. Jacek Stawik	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,19/
Parafia pw. Matki Boskiej Królowej Korony Polskiej		Msze św. w niedziele: 8:30, 10:30	Msze św. w dni powszednie: w środę o 7:00 w pozostałe dni tygodnia o 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,151/
Parafia pw. św. Barbary	http://www.jaszkowo-manieczki.pl/	Msze św. w niedziele: Manieczki godz. 8.00, godz. 11.00; Jaszkowo godz. 9.30	Msze św. w dni powszednie: Manieczki: godz. 18.00 lato; godz. 17.00 zima; Jaszkowo w czwartek godz. 19.00 lato; godz. 18.00 zima	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,358/
Parafia pw. św. Kazimierza		Msze św. w niedziele: 8:00, 11:00; Zbęchy 9:30	Msze św. w dni powszednie: poniedziałek, środa, piątek, sobota - 18:00; wtorek czwartek - 8:30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,121/
Parafia pw. św. Michała Archanioła		Msze św. w niedziele: 18.00 (w sobotę), 9.30	Msze św. w dni powszednie: wtorek, czwartek - 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,370/
Parafia pw. Wszystkich Świętych		Msze św. w niedziele: 8:30, 10:30	Msze św. w dni powszednie: 17:00 (XI-II), 18:00 (III-X)	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,17/
Parafia pw. św. Elżbiety		Msze św. w niedziele: 7:30, 9:00, 10:30, 16.00	Msze św. w dni powszednie: latem: 18:00, 19:00; sobota: 17:30, 19:00; zimą: 17:00, 18:00; sobota: 17:00, 18:30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,74/
Parafia pw. św. Marcina	http://www.parafiakaczkowo.pl/	Msze św. w niedziele: 8:00, 11:00; Jabłonna: 9:30	Msze św. w dni powszednie: 01.V-30.IX 18:30; 01.X-30.IV 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,297/
Parafia pw. św. Wawrzyńca		Msze św. w niedziele: 7.30, 10.30; Ujazd - kaplica - 9.00	Msze św. w dni powszednie: 18.00 Msze św. w święta w dni pracy: 11.00, 18.00	http://www.archpoznan.pl/component/option,com_contact/Itemid,118/task,view/contact_id,62/
Parafia pw. św. Matki Teresy z Kalkuty	http://www.mtkamionki.pl	Msze św. w niedziele: o godz. 8.00 (z wyjątkiem I dnia świąt Bożego Narodzenia i Wielkanocy), 10.00, 11.30 (z udziałem dzieci) i 19.00	Msze św. w dni powszednie: od wtorku do soboty godz. 18.30. (Roraty o 18.00)	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,1210/Itemid,118/
Parafia pw. Narodzenia NMP		Msze św. w niedziele: 8:30, 11:30; Głażewo 10:00	Msze św. w dni powszednie: 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,161/
