Parafia pod wezwaniem św.Stanisława	http://www.kuria.gliwice.pl/kuria/index.php?akcja=parafia&ID=120	Babienica	ul. Kościelna 10	42-287 Lubsza Śląska	http://colaska.pl/index/parafia/id/39	18.9670372009277,50.620839359851
Parafia pod wezwaniem św.Wawrzyńca		Babimost	ul. Kościelna 1	66-110 Babimost	http://colaska.pl/index/parafia/id/40	15.8252741,52.1623769
Parafia pod wezwaniem Św. Andrzeja Boboli		Babin	Babin	24-200 Bełżyce	http://colaska.pl/index/parafia/id/41	22.3489809036255,51.1735853831977
Parafia pod wezwaniem Narodzenia NMP	http://www.karmel.krakow.pl/html/Baborow.htm	Baborów	ul. T. Kościuszki 2	48-120 Baborów	http://colaska.pl/index/parafia/id/42	17.9891382,50.1649195
Parafia pod wezwaniem św.Urbana		Baboszewo	ul. Odrodzenia 2	09-130 Baboszewo	http://colaska.pl/index/parafia/id/43	 20.258892327547073,52.681473625807314
Parafia pod wezwaniem Św. Antoniego Padewskiego		Babsk	Al.Lipowa 33	96-200 Rawa Mazowiecka	http://colaska.pl/index/parafia/id/44	20.2451771,51.7802933
Parafia pod wezwaniem Św. Maksymiliana Marii Kolbego		Baby	Kiełczówka 98	97-310 Moszczenica	http://colaska.pl/index/parafia/id/45	19.7127011,51.53102
Parafia pod wezwaniem Najświętszego Serca Pana Jezusa		Bachowice	ul. Księdza Sołby 18	34-116 Spytkowice	http://colaska.pl/index/parafia/id/46	19.6201067,49.8458727
Parafia pod wezwaniem Św. Wojciecha		Bachórz	Bachórz	36-068 Bachórz	http://colaska.pl/index/parafia/id/47	22.2766152,49.8461263
Parafia pod wezwaniem Świętej Katarzyny Aleksandryjskiej i Błogosławionego Józefa Sebastiana Pelczara Biskupa		Bachórzec	Bachórzec 72	37-752 Bachórzec	http://colaska.pl/index/parafia/id/48	22.3281269,49.8276404
Parafia pod wezwaniem Świętych Apostołów Piotra i Pawła		Baczyna	ul. Lipowa 12	66-432 Baczyna	http://colaska.pl/index/parafia/id/49	15.0937112,52.7617121
Parafia pod wezwaniem Świętego Mikołaja	http://backowice.wikidot.com	Baćkowice	Baćkowice 55	27-552 Baćkowice	http://colaska.pl/index/parafia/id/50	 21.228268146514893,50.79535660850576
Parafia pod wezwaniem Wniebowzięcia NMP		Bagno		55-038 Bagno	http://colaska.pl/index/parafia/id/51	,
Parafia pod wezwaniem św.Katarzyny		Bagrowo		63-012 Dominowo	http://colaska.pl/index/parafia/id/52	,
Parafia pod wezwaniem Ofiarowania NMP		Bajory Małe		11-400 Kętrzyn	http://colaska.pl/index/parafia/id/53	,
Parafia pod wezwaniem MB Różańcowej		Bajtkowo		19-321 Nowa Wieś Ełcka	http://colaska.pl/index/parafia/id/54	,
Parafia pod wezwaniem Św. Jakuba Apostoła		Bakałarzewo	Rynek 17 A	16-423 Bakałarzewo	http://colaska.pl/index/parafia/id/55	,
Parafia pod wezwaniem św.Stanisława		Balice		28-114 Gnojno	http://colaska.pl/index/parafia/id/56	20.8320220169411,50.5464943075273
Parafia pod wezwaniem Niepokalanego Poczęcia Najświętszej Maryi Panny		Baligród	ul. Kazimierza Wielkiego 27	38-606 Baligród	http://colaska.pl/index/parafia/id/57	22.2880518436432,49.3417757608873
Parafia pod wezwaniem Chrystusa Króla		Balin	Balin 756	32-500 Chrzanów	http://colaska.pl/index/parafia/id/58	 19.39065992832184,50.16426763757728
Parafia pod wezwaniem Świętego Idziego	http://www.parafiabaldrzychow.oz.pl/	Bałdrzychów	Bałdrzychów 20	99-200 Poddębice	http://colaska.pl/index/parafia/id/59	18.9033376,51.8803457
Parafia pod wezwaniem Świętej Rodziny		Bałoszyce	Bałoszyce 19	14-240 Susz	http://colaska.pl/index/parafia/id/60	,
Parafia pod wezwaniem MB Bolesnej		Bałtów		27-432 Bałtów	http://colaska.pl/index/parafia/id/61	,
Parafia pod wezwaniem Świętych Kosmy i Damiana Męczenników	http://www.parafia-banica.yoyo.pl/	Banica	Banica 35	38-313 Śnietnica	http://colaska.pl/index/parafia/id/62	,
Parafia pod wezwaniem MB Wspomożenia Wiernych	http://www.banie.szczecin.opoka.org.pl/	Banie	ul. Bolesława Chrobrego 5	74-110 Banie	http://colaska.pl/index/parafia/id/63	14.6612870693207,53.1009687305362
Parafia pod wezwaniem Św. Antoniego Padewskiego		Banie Mazurskie	ul. M. Konopnickiej 57	11-630 Banie Mazurskie	http://colaska.pl/index/parafia/id/64	,
Parafia pod wezwaniem św.Mikołaja		Banie Mazurskie		11-600 Węgorzewo	http://colaska.pl/index/parafia/id/65	,
Parafia pod wezwaniem Niepokalanego Poczęcia Najświętszej Maryi Panny	http://www.diecezja.gda.pl/parafie/dekanat-banino.htm	Banino	ul. Lotnicza 30	80-297 Banino	http://colaska.pl/index/parafia/id/66	18.4131288528442,54.3910784297354
Parafia pod wezwaniem Najświętszej Maryi Panny Królowej Pokoju	http://www.parafiabaniocha.waw.pl	Baniocha	Willowa 2	05-532 Baniocha	http://colaska.pl/index/parafia/id/67	21.1720531,52.0009944
Parafia pod wezwaniem Nawiedzenia Najświętszej Maryi Panny	http://www.bangow.katowice.opoka.org.pl/	Bańgów	ul. Polna 17	41-103 Siemianowice	http://colaska.pl/index/parafia/id/68	19.0241426,50.3295189
Parafia pod wezwaniem Miłosierdzia Bożego		Bańska Niżna	Bańska Niżna 414	34-424 Szaflary	http://colaska.pl/index/parafia/id/69	20.003483,49.4223141
Parafia pod wezwaniem Świętej Jadwigi Śląskiej	http://www.swjadw.katowice.opoka.org.pl/	Baranowice	ul. Strażacka 3	44-240 Żory-Baranowice	http://colaska.pl/index/parafia/id/70	18.7114771,50.0201636
Parafia pod wezwaniem Najświętszej Maryi Panny Matki Kościoła		Baranowo	Baranowo 32	11-733 Baranowo	http://colaska.pl/index/parafia/id/72	,
Parafia pod wezwaniem Św.Bartłomieja		Baranowo	ul. ks. Jana Trzaskomy 6	06-320 Baranowo	http://colaska.pl/index/parafia/id/73	21.2983267363892,53.1749333965548
Parafia pod wezwaniem Świętego Józefa Oblubieńca NMP	http://www.parjozef.org/	Baranowo	ul. Spokojna (63)65	62-081 Przeźmierowo	http://colaska.pl/index/parafia/id/74	16.7913837,52.4394581
Parafia pod wezwaniem Św. Jana Chrzciciela	http://parafia..gminabaranow.pl	Baranów	Rynek 3	24-105 Baranów	http://colaska.pl/index/parafia/id/75	 22.136587500572205,51.55845657515194
Parafia pod wezwaniem Św. Wawrzyńca i Św. Andrzeja		Baranów	ul. Młyńska 1	63-604 Kępno	http://colaska.pl/index/parafia/id/76	17.992843,51.283148
Parafia pod wezwaniem Św. Józefa Oblubieńca Najświętszej Maryi Panny		Baranów	Baranów 29	96-314 Baranów	http://colaska.pl/index/parafia/id/77	20.4745018,52.1474235
Parafia pod wezwaniem Ścięcia Św. Jana Chrzciciela		Baranów Sandomierski	ul. Kościuszki 3	39-450 Baranów Sandomierski	http://colaska.pl/index/parafia/id/78	21.5348592,50.4923396
Parafia pod wezwaniem Niepokalanego Serca NMP		Barciany		11-400 Barciany	http://colaska.pl/index/parafia/id/79	,
Parafia pod wezwaniem Najświętszej Maryi Panny Wniebowziętej	http://www.barcice.diecezja.tarnow.pl/	Barcice	Barcice 27	33-342 Barcice	http://colaska.pl/index/parafia/id/80	 20.6511989235878,49.524654682428746
Parafia pod wezwaniem Św. Jakuba Apostoła		Barcin	ul. Kościelna 4	88-190 Barcin	http://colaska.pl/index/parafia/id/81	17.947916,52.86375
Parafia pod wezwaniem Św. Maksymiliana M. Kolbego		Barcin	ul. Mogileńska 7	88-190 Barcin	http://colaska.pl/index/parafia/id/82	17.93935,52.855331
Parafia pod wezwaniem Świętej Anny	http://www.barcino.koszalin.opoka.org.pl/	Barcino	Barcino 10	77-232 Barcino	http://colaska.pl/index/parafia/id/83	16.9623111,54.277052
Parafia pod wezwaniem Św. Wawrzyńca i Św. Katarzyny		Barczewko	Barczewko 61	11-010 Barczewo	http://colaska.pl/index/parafia/id/84	20.5893116053925,53.8498692353258
Parafia pod wezwaniem Św. Andrzeja Apostoła		Barczewo	Pl. Batorego 5	11-010 Barczewo	http://colaska.pl/index/parafia/id/85	20.691543,53.8269453
Parafia pod wezwaniem Świętej Anny i Świętego Szczepana 	http://www.swanna.barczewo.pl/	Barczewo	ul. Nowowiejskiego 4	11-010 Barczewo	http://colaska.pl/index/parafia/id/86	20.692105,53.828741
Parafia pod wezwaniem Nawiedzenia NMP		Bardo		28-311 Raków	http://colaska.pl/index/parafia/id/87	,
Parafia pod wezwaniem Świętego Mikołaja	http://www.archidiecezja.pl/php/index.php?s=74&pdid=457&l=pl	Bardo	Bardo 10	62-300 Września	http://colaska.pl/index/parafia/id/88	,
Parafia pod wezwaniem Nawiedzenia Najświętszej Maryi Panny	http://www.sankt_bardo.opoka.net.pl/	Bardo Śląskie	Pl. Wolności 5	57-256 Bardo Śląskie	http://colaska.pl/index/parafia/id/89	16.740617,50.505347
Parafia pod wezwaniem św.Andrzeja Boboli		Bardzice		26-643 Bardzice	http://colaska.pl/index/parafia/id/90	21.118554359375,51.2803745561138
Parafia pod wezwaniem Podwyższenia Krzyża Świętego 	http://www.barglow.diecezja.elk.pl/	Bargłów Kościelny	ul. Augustowska 23	16-320 Bargłów	http://colaska.pl/index/parafia/id/91	 22.818405032157898,53.771100062565594
Parafia pod wezwaniem Trójcy Świętej	http://www.kuria.gliwice.pl/kuria/index.php?akcja=parafia&ID=36	Bargłówka	ul. Kościelna 14	44-153 Sośnicowice	http://colaska.pl/index/parafia/id/92	18.5173544,50.2679019
Parafia pod wezwaniem św.Marcina		Barkowo		55-143 Barkowo	http://colaska.pl/index/parafia/id/93	,
Parafia pod wezwaniem Niepokalanego Serca NMP	http://www.parafiabarlinek.pl/	Barlinek	ul. Kościelna 3	74-320 Barlinek	http://colaska.pl/index/parafia/id/94	15.219035,52.992345
Parafia pod wezwaniem Świętego Bonifacego Biskupa Męczennika 	http://www.bonifacy.rel.pl	Barlinek	ul. św. Bonifacego 13 a	74-320 Barlinek	http://colaska.pl/index/parafia/id/95	 15.218971967697144,52.992373638983594
Parafia pod wezwaniem św.Wojciecha		Barlinek		74-320 Barlinek	http://colaska.pl/index/parafia/id/96	 15.204187631607056,53.00009661488738
Parafia pod wezwaniem Św. Rocha		Barłogi	Grzegorzew	62-640 Grzegorzew	http://colaska.pl/index/parafia/id/97	18.767067481012,52.2174813573192
Parafia pod wezwaniem Św. Marcina		Barłożno	Barłożno 62	83-225 Barłożno	http://colaska.pl/index/parafia/id/98	18.6111288127289,53.7847789972743
Parafia pod wezwaniem Najśw. Serca Pana Jezusa		Barnimie	Barnimie 41	73-220 Drawno	http://colaska.pl/index/parafia/id/99	15.8055894,53.1766015
Parafia pod wezwaniem św.Jana Ewangelisty		Bartąg		10-687 Olsztyn	http://colaska.pl/index/parafia/id/101	,
Parafia pod wezwaniem Św. Bartłomieja		Bartkówka	Bartkówka 113a	37-065 Dynów	http://colaska.pl/index/parafia/id/102	,
Parafia pod wezwaniem Św. Antoniego z Padwy		Bartniki	Bartniki 192	96-332 Radziwiłłów k/Skierniewic	http://colaska.pl/index/parafia/id/103	20.2742105,52.0037987
Parafia pod wezwaniem św.Jakuba Apostoła	http://www.par-bartolty.olsztyn.opoka.org.pl/	Bartołty Wielkie	Bartołty Wielkie 4	11-010 Barczewo	http://colaska.pl/index/parafia/id/104	,
Parafia pod wezwaniem Św. Apostołów Piotra i Pawła		Bartoszyce	Lipica	11-210 Stopki	http://colaska.pl/index/parafia/id/105	,
Parafia pod wezwaniem Św. Brata Alberta		Bartoszyce	ul. Nowowiejskiego 7	11-200 Bartoszyce	http://colaska.pl/index/parafia/id/106	20.7951237988282,54.2562254894876
Parafia pod wezwaniem Św. Brunona		Bartoszyce	ul. Kętrzyńska 46	11-200 Bartoszyce	http://colaska.pl/index/parafia/id/107	20.818943,54.248592
Parafia pod wezwaniem Św. Jana Chrzciciela		Bartoszyce	ul. Nowa 1a	11-200 Bartoszyce	http://colaska.pl/index/parafia/id/108	20.8127731521149,54.2580492091342
Parafia pod wezwaniem Św. Jana Ewangelisty i Matki Bożej Częstochowskiej		Bartoszyce	ul. Mazurska 5	11-200 Bartoszyce	http://colaska.pl/index/parafia/id/109	20.8081934,54.2508241
Parafia pod wezwaniem Św. Erazma Biskupa i Męczennika		Barwałd Dolny	Barwałd Dolny 50	34-124 Klecza Górna	http://colaska.pl/index/parafia/id/110	19.5764412,49.865505
Parafia pod wezwaniem Miłosierdzia Bożego		Barwałd Górny	Barwałd Górny	34-130 Kalwaria Zebrzydowska	http://colaska.pl/index/parafia/id/111	19.6652884,49.8751755
Parafia pod wezwaniem św.Stefana	http://www.parafiabarwice.w8w.pl/	Barwice	pl. Wolności 8	78-460 Barwice	http://colaska.pl/index/parafia/id/112	16.356423,53.742983
Parafia pod wezwaniem św.Józefa		Barycz		36-232 Barycz	http://colaska.pl/index/parafia/id/113	22.0418357849121,49.8133978728693
Parafia pod wezwaniem Nawiedzenia Najświętszej Maryi Panny		Baryczka	Baryczka 207	38-115 Połomia	http://colaska.pl/index/parafia/id/114	21.542139,49.524303
Parafia pod wezwaniem Św. Apostołów Piotra i Pawła		Barzkowice	Barzkowice	73-134 Barzkowice	http://colaska.pl/index/parafia/id/116	15.2668111,53.3413298
Parafia pod wezwaniem Św. Franciszka z Asyżu		Barzowice	Barzowice 45	76-150 Darłowo	http://colaska.pl/index/parafia/id/117	16.5106379985809,54.4766460026632
Parafia pod wezwaniem Wniebowzięcia Najświętszej Maryi Panny		Baszków	Baszków 66	63-760 Zduny	http://colaska.pl/index/parafia/id/118	,
Parafia pod wezwaniem Świętego Andrzeja Boboli	http://www.parafiabasznia.pl/	Basznia Dolna	Mierzwy 1	37-621 Basznia Dolna	http://colaska.pl/index/parafia/id/119	 23.22297066450119,50.17360338548415
Parafia pod wezwaniem Św. Stanisława Biskupa i Męczennika		Batorz	Batorz 48	23-320 Batorz	http://colaska.pl/index/parafia/id/122	22.4926507472992,50.8470174796348
Parafia pod wezwaniem Miłosierdzia Bożego		Batowo	Batowo 43a/3	74-230 Mielęcin	http://colaska.pl/index/parafia/id/123	14.9628675,53.0562939
Parafia pod wezwaniem Św. Maksymiliana Marii Kolbego		Bazanów	Bazanów Stary 138	08-500 Ryki	http://colaska.pl/index/parafia/id/125	,
Parafia pod wezwaniem Św. Mikołaja		Bażyny	Bażyny 45	11-130 Orneta	http://colaska.pl/index/parafia/id/126	,
Parafia pod wezwaniem Imienia Maryi	http://parafia.baczaldolny.prv.pl	Bączal Dolny	Bączal Dolny 97	38-242 Skołyszyn	http://colaska.pl/index/parafia/id/127	21.22268,49.46239
Parafia pod wezwaniem św.Mateusza	http://www.parafiamateuszbadkowo.pl/	Bądkowo	ul. Włocławska 47	87-704 Bądkowo	http://colaska.pl/index/parafia/id/128	18.7850680947304,52.7055150641715
Parafia pod wezwaniem Św. Szczepana		Bądkowo Kościelne	Bądkowo Kościelne 9	09-414 Bądkowo Kościelne	http://colaska.pl/index/parafia/id/129	 19.50337305665016,52.67540143088281
Parafia pod wezwaniem Św. Jana Chrzciciela		Bągart	Bągart 37A	82-440 Dzierżgoń	http://colaska.pl/index/parafia/id/130	,
Parafia pod wezwaniem Przenajświętszej Trójcy		Bąkowa Góra	Bąkowa Góra 1	97-510 Ręczno	http://colaska.pl/index/parafia/id/131	19.8688591,51.137614
Parafia pod wezwaniem Św. Anny		Bąkowice	ul. Główna 76	46-156 Bąkowice	http://colaska.pl/index/parafia/id/132	,
Parafia pod wezwaniem Miłosierdzia Bożego		Bąków	Bąków, ul. Główna 44	43-246 Strumień	http://colaska.pl/index/parafia/id/133	18.7501605,49.9047121
Parafia pod wezwaniem Świętego Mikołaja Biskupa	http://parafiabakow.republika.pl/	Bąków	Bąków Górny 113	99-440 Zduny k/Łowicza	http://colaska.pl/index/parafia/id/134	,
Parafia pod wezwaniem Narodzenia NMP		Bebelno		29-100 Włoszczowa	http://colaska.pl/index/parafia/id/135	 19.988618195056915,50.76070329311094
Parafia pod wezwaniem Matki Boskiej Czestochowskiej		Becejły	Bacejły 32	16-411 Szypliszki	http://colaska.pl/index/parafia/id/136	 23.04308295249939,54.26664017142508
Parafia pod wezwaniem św.Anny		Bedlno		26-215 Bedlno	http://colaska.pl/index/parafia/id/137	,
Parafia pod wezwaniem Św. Floriana		Bedlno	Bedlno	99-311 Bedlno	http://colaska.pl/index/parafia/id/138	19.5775774,52.2071393
Parafia pod wezwaniem Św. Macieja Apostoła i Św. Małgorzaty		Bednary	Bednary 53	99-436 Bednary	http://colaska.pl/index/parafia/id/141	20.0491690635681,52.1153080326469
Parafia pod wezwaniem Matki Boskiej Królowej Polski		Bedoń	Bedoń, ul. Kościelna 22	95-020 Andrespol	http://colaska.pl/index/parafia/id/142	19.6339908920654,51.737270152155
Parafia pod wezwaniem Nawiedzenia Najświętszej Maryi Panny		Bejdy	Bejdy	08-207 Olszanka	http://colaska.pl/index/parafia/id/143	22.59929,52.1677914
Parafia pod wezwaniem Św. Mikołaja		Bejsce	Bejsce 232	28-512 Bejsce	http://colaska.pl/index/parafia/id/144	,
Parafia pod wezwaniem Świętej Trójcy	http://www.mkw.pl/parafie/parafia89.html	Belsk Duży	ul. Modrzewiowa 4	05-622 Belsk Duży k/Grójca	http://colaska.pl/index/parafia/id/145	,
Parafia pod wezwaniem Miłosierdzia Bożego	http://www.pmb.dolsat.pl/	Bełchatów	ul. Daleka 15	97-400 Bełchatów	http://colaska.pl/index/parafia/id/146	 19.384150207042694,51.37627426564307
Parafia pod wezwaniem Narodzenia Najświętszej Maryi Panny 	http://www.narodzenie.com.pl/	Bełchatów	ul. T. Kościuszki 2	97-400 Bełchatów	http://colaska.pl/index/parafia/id/147	 19.370233565568924,51.36630975914125
Parafia pod wezwaniem Najświętszej Maryi Panny Matki Kościoła 	http://belchatow.sercanie.org.pl/	Bełchatów	ul. ks. kard. S. Wyszyńskiego 44	97-400 Bełchatów	http://colaska.pl/index/parafia/id/148	19.3538975715637,51.3584367513541
Parafia pod wezwaniem Świętego Stanisława Biskupa Męczennika 	http://www.parafia-stanislawa-belchatow.net/	Bełchatów	ul. Czyżewskiego 3	97-400 Bełchatów	http://colaska.pl/index/parafia/id/149	19.3836136,51.367402
Parafia pod wezwaniem Wszystkich Świętych		Bełchatów	Rynek Grocholski 8	97-413 Bełchatów-Grocholice	http://colaska.pl/index/parafia/id/150	19.3755000829697,51.3357362928395
Parafia pod wezwaniem Zesłania Ducha Świętego		Bełchatów		97-400 Bełchatów	http://colaska.pl/index/parafia/id/151	 19.362075626850128,51.35008831076437
Parafia pod wezwaniem Św. Macieja Apostoła		Bełchów	Bełchów 109 A	99-418 Bełchów	http://colaska.pl/index/parafia/id/152	20.0220191,52.0321255
Parafia pod wezwaniem Św. Piotra i Pawła Apostołów		Bełczna	Bełczna	73-153 Bełczna	http://colaska.pl/index/parafia/id/153	15.5931935,53.7135363
Parafia pod wezwaniem Wszystkich Świętych		Bełdów		95-072 Bełdów	http://colaska.pl/index/parafia/id/154	19.1854541358338,51.8266551083168
Parafia pod wezwaniem Św. Marii Magdaleny		Bełk	ul. Kościelna 6	44-237 Bełk	http://colaska.pl/index/parafia/id/155	18.6945352,50.1306333
Parafia pod wezwaniem Najświętszej Maryi Panny Królowej Polski	http://www.belzec.zam-lub.pl/	Bełżec	ul. gen. K. Świerczewskiego 71	22-670 Bełżec	http://colaska.pl/index/parafia/id/157	23.4318346,50.3830486
Parafia pod wezwaniem Nawrócenia Św. Pawła		Bełżyce	Pl. Kościelny 7	24-200 Bełżyce	http://colaska.pl/index/parafia/id/158	22.277755,51.174468
Parafia pod wezwaniem Św. Brata Alberta Chmielowskiego		Bemowo Piskie	ul. Pocztowa 8	12-207 Bemowo Piskie	http://colaska.pl/index/parafia/id/159	,
Parafia pod wezwaniem Macierzyństwa Najświętszej Maryi Panny		Benice	Benice 8	72-400 Kamień Pomorski	http://colaska.pl/index/parafia/id/160	,
Parafia pod wezwaniem Św. Mikołaja Biskupa		Benice	Benice	63-703 Benice	http://colaska.pl/index/parafia/id/161	,
Parafia pod wezwaniem Najświętszego Serca Pana Jezusa		Benowo	Benowo 4	82-420 Ryjewo	http://colaska.pl/index/parafia/id/162	18.928370475769,53.8922410495959
Parafia pod wezwaniem Matki Bożej Nieustającej Pomocy		Berest	Berest 22	33-385 Berest	http://colaska.pl/index/parafia/id/164	,
Parafia pod wezwaniem Wniebowzięcia Najświętszej Maryi Panny		Berżniki	Berżniki 47	16-505 Berżniki	http://colaska.pl/index/parafia/id/165	23.4647327532532,54.0786054844015
Parafia pod wezwaniem Podwyższenia Krzyża Świętego		Besko	ul. Kościelna 4	38-524 Besko	http://colaska.pl/index/parafia/id/166	21.96485567659,49.5911159292753
Parafia pod wezwaniem Wniebowzięcia Najświętszej Maryi Panny		Bestwina	ul. Plebańska 4	43-512 Bestwina	http://colaska.pl/index/parafia/id/167	 19.058361053466797,49.903991612431355
Parafia pod wezwaniem Św. Sebastiana		Bestwinka	Bestwinka, ul. F.Gandora 32	43-512 Bestwina	http://colaska.pl/index/parafia/id/168	19.0658088,49.9045425
